# Simulation 1 (Up to date)
# 404 data points written for 4 variables.
#
# Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Stability margin calibers (?)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
336.68,24.279,-10.467,1.9215
337.88,23.758,-10.367,1.9832
339.05,23.242,-10.301,1.9717
340.2,22.728,-10.233,1.9312
341.33,22.218,-10.176,1.8996
342.42,21.71,-10.162,1.9009
343.5,21.202,-10.151,1.9048
344.54,20.695,-10.144,1.9119
345.57,20.188,-10.102,1.8893
346.56,19.685,-10.033,1.8448
347.53,19.184,-10.011,1.8372
348.48,18.684,-10.025,1.8584
349.4,18.182,-10.028,1.8719
350.3,17.681,-10.018,1.8742
351.17,17.18,-10.021,1.8887
352.02,16.679,-10.01,1.8899
352.84,16.179,-9.9981,1.8893
353.64,15.679,-9.9945,1.8975
354.41,15.18,-9.9899,1.9045
355.15,14.68,-10.034,1.9701
355.88,14.176,-10.089,1.9305
356.57,13.672,-10.061,1.9489
357.24,13.171,-9.9777,1.9428
357.89,12.674,-9.9079,1.8688
358.51,12.179,-9.8817,1.8478
359.11,11.686,-9.8405,1.8096
359.68,11.196,-9.7402,1.7155
360.23,10.712,-9.6598,1.6499
360.75,10.229,-9.6414,1.6355
361.25,9.7475,-9.6229,1.6207
361.72,9.2671,-9.5952,1.5989
362.18,8.7881,-9.5524,1.5671
362.6,8.3116,-9.5394,1.556
363.01,7.8344,-9.5111,1.5349
363.39,7.3604,-9.4827,1.5145
363.74,6.8858,-9.4949,1.5189
364.08,6.411,-9.4935,1.5148
364.38,5.9365,-9.4871,1.5072
364.67,5.4628,-9.4337,1.4722
364.93,4.9933,-9.361,1.432
365.17,4.5267,-9.291,1.3994
365.38,4.0639,-9.2423,1.3801
365.57,3.6019,-9.2501,1.3823
365.74,3.1388,-9.272,1.3895
365.89,2.6751,-9.2548,1.3845
366.01,2.2133,-9.2314,1.38
366.11,1.7518,-9.2216,1.3813
366.19,1.2913,-9.1907,1.3817
366.24,0.83228,-9.1968,1.3923
366.27,0.37152,-9.222,1.4068
366.28,-0.089916,-9.2411,1.4223
# Event APOGEE occurred at t=9.1259 seconds
366.26,-0.5527,-9.273,1.4381
366.22,-1.0172,-9.3052,1.451
366.16,-1.483,-9.325,1.4664
366.07,-1.9497,-9.3398,1.4928
365.96,-2.4172,-9.3625,1.524
365.83,-2.886,-9.392,1.5612
365.67,-3.3565,-9.4241,1.5946
365.5,-3.8284,-9.457,1.6293
365.29,-4.3023,-9.4968,1.6766
365.07,-4.778,-9.5248,1.7066
364.81,-5.2548,-9.5634,1.7555
364.54,-5.7344,-9.6078,1.816
364.24,-6.2155,-9.6364,1.857
363.92,-6.6981,-9.6747,1.9167
363.57,-7.183,-9.7187,1.9909
363.2,-7.67,-9.7654,1.9203
362.8,-8.1594,-9.7995,1.8665
362.38,-8.6501,-9.8511,1.7978
361.94,-9.145,-9.9446,1.6996
361.47,-9.6447,-10.046,1.6123
360.97,-10.149,-10.099,1.5663
360.45,-10.654,-10.108,1.5498
359.91,-11.16,-10.132,1.5253
